node_type,mode,threshold_from,threshold_to,n_nodes,centroid_sim_mean,centroid_sim_median,centroid_sim_std,centroid_sim_min,centroid_sim_max,high_stable_pct,moderate_pct,low_stable_pct
problem_analysis,single_risk,EDGE,0.8,2450,0.9204,0.94,0.0708,0.6062,0.9942,0.9302,0.0698,0.0
problem_analysis,single_risk,0.8,0.85,3920,0.9531,0.9838,0.0657,0.5943,0.998,0.9574,0.0426,0.0
problem_analysis,single_risk,0.85,0.9,2845,0.9503,0.9867,0.0658,0.6209,0.9986,0.9536,0.0464,0.0
problem_analysis,single_risk,0.9,0.95,2482,0.958,0.9853,0.0561,0.638,0.9997,0.973,0.027,0.0
problem_analysis,monotonic,EDGE,0.8,2398,0.9213,0.948,0.0712,0.5782,0.9946,0.9416,0.0584,0.0
problem_analysis,monotonic,0.8,0.85,4023,0.9524,0.9813,0.0659,0.6265,0.9986,0.9597,0.0403,0.0
problem_analysis,monotonic,0.85,0.9,2859,0.9479,0.9827,0.0637,0.6242,0.9973,0.9507,0.0493,0.0
problem_analysis,monotonic,0.9,0.95,2433,0.9564,0.9879,0.0583,0.668,0.9995,0.9758,0.0242,0.0
problem_analysis,both,EDGE,0.8,2395,0.9267,0.9563,0.07,0.5973,0.9953,0.9311,0.0689,0.0
problem_analysis,both,0.8,0.85,3670,0.9569,0.9886,0.0648,0.6057,0.9986,0.958,0.042,0.0
problem_analysis,both,0.85,0.9,2748,0.9493,0.976,0.0653,0.6181,0.9981,0.9501,0.0499,0.0
problem_analysis,both,0.9,0.95,2431,0.9649,0.9936,0.0579,0.619,0.9997,0.9757,0.0243,0.0
theoretical_insight,unconstrained,EDGE,0.8,2206,0.9317,0.9658,0.0676,0.5078,0.9942,0.9451,0.0549,0.0
theoretical_insight,unconstrained,0.8,0.85,3143,0.9497,0.9806,0.0638,0.5496,0.9982,0.9513,0.0487,0.0
theoretical_insight,unconstrained,0.85,0.9,2475,0.9362,0.9606,0.0617,0.631,0.9986,0.9535,0.0465,0.0
theoretical_insight,unconstrained,0.9,0.95,2255,0.9516,0.976,0.0567,0.6512,0.999,0.9752,0.0248,0.0
theoretical_insight,single_risk,EDGE,0.8,2200,0.9302,0.9524,0.0659,0.5005,0.9946,0.9464,0.0536,0.0
theoretical_insight,single_risk,0.8,0.85,2933,0.9427,0.9673,0.0625,0.6465,0.9984,0.9519,0.0481,0.0
theoretical_insight,single_risk,0.85,0.9,2375,0.9447,0.9739,0.0606,0.6153,0.9983,0.9655,0.0345,0.0
theoretical_insight,single_risk,0.9,0.95,2241,0.9524,0.9748,0.0525,0.6161,1.0,0.9817,0.0183,0.0
theoretical_insight,monotonic,EDGE,0.8,2150,0.9304,0.9476,0.066,0.5385,0.9933,0.9349,0.0651,0.0
theoretical_insight,monotonic,0.8,0.85,2755,0.9521,0.9754,0.0572,0.5566,0.997,0.9673,0.0327,0.0
theoretical_insight,monotonic,0.85,0.9,2310,0.9484,0.9795,0.0633,0.598,0.9986,0.9567,0.0433,0.0
theoretical_insight,monotonic,0.9,0.95,2194,0.954,0.9773,0.0519,0.5839,0.9997,0.9845,0.0155,0.0
theoretical_insight,both,EDGE,0.8,2148,0.9343,0.9565,0.0655,0.5773,0.9963,0.946,0.054,0.0
theoretical_insight,both,0.8,0.85,2657,0.9505,0.9845,0.065,0.5914,0.9986,0.9571,0.0429,0.0
theoretical_insight,both,0.85,0.9,2286,0.9475,0.9749,0.0612,0.6357,0.9989,0.9646,0.0354,0.0
theoretical_insight,both,0.9,0.95,2193,0.9603,0.9821,0.0535,0.629,0.9997,0.9767,0.0233,0.0
design_rationale,unconstrained,EDGE,0.8,2199,0.9279,0.9471,0.0652,0.612,0.9935,0.9509,0.0491,0.0
design_rationale,unconstrained,0.8,0.85,3055,0.9545,0.9875,0.0609,0.6151,0.9979,0.9686,0.0314,0.0
design_rationale,unconstrained,0.85,0.9,2425,0.9465,0.9754,0.0623,0.6336,0.9969,0.9645,0.0355,0.0
design_rationale,unconstrained,0.9,0.95,2267,0.9589,0.9896,0.0555,0.5944,1.0,0.9797,0.0203,0.0
design_rationale,single_risk,EDGE,0.8,2196,0.9289,0.9508,0.063,0.6738,0.9927,0.9463,0.0537,0.0
design_rationale,single_risk,0.8,0.85,2946,0.9545,0.9881,0.0632,0.5691,0.9983,0.963,0.037,0.0
design_rationale,single_risk,0.85,0.9,2375,0.9474,0.9708,0.0593,0.6267,0.9978,0.9672,0.0328,0.0
design_rationale,single_risk,0.9,0.95,2260,0.9645,0.9871,0.0494,0.6299,0.9998,0.9867,0.0133,0.0
design_rationale,monotonic,EDGE,0.8,2140,0.9277,0.9431,0.0592,0.6106,0.9961,0.9565,0.0435,0.0
design_rationale,monotonic,0.8,0.85,2687,0.9485,0.9703,0.0587,0.6659,0.9976,0.9684,0.0316,0.0
design_rationale,monotonic,0.85,0.9,2311,0.9512,0.9793,0.0584,0.6425,0.9959,0.9654,0.0346,0.0
design_rationale,monotonic,0.9,0.95,2217,0.9609,0.9808,0.0475,0.618,1.0,0.991,0.009,0.0
design_rationale,both,EDGE,0.8,2139,0.9329,0.9518,0.0608,0.6167,0.9923,0.9561,0.0439,0.0
design_rationale,both,0.8,0.85,2620,0.9484,0.9779,0.0624,0.5403,0.9969,0.9645,0.0355,0.0
design_rationale,both,0.85,0.9,2288,0.9497,0.9763,0.0565,0.6765,0.9956,0.9768,0.0232,0.0
design_rationale,both,0.9,0.95,2216,0.9602,0.9812,0.0467,0.5872,1.0,0.9896,0.0104,0.0
implementation_mechanism,unconstrained,EDGE,0.8,2286,0.9033,0.9287,0.078,0.6015,0.9927,0.8845,0.1155,0.0
implementation_mechanism,unconstrained,0.8,0.85,3106,0.9376,0.977,0.0775,0.5114,0.9954,0.9221,0.0779,0.0
implementation_mechanism,unconstrained,0.85,0.9,2543,0.9344,0.9583,0.0716,0.4982,1.0,0.9418,0.0578,0.0004
implementation_mechanism,unconstrained,0.9,0.95,2386,0.9565,0.9855,0.0603,0.5448,0.9989,0.9677,0.0323,0.0
implementation_mechanism,single_risk,EDGE,0.8,2284,0.8998,0.9278,0.0779,0.5175,0.9932,0.8936,0.1064,0.0
implementation_mechanism,single_risk,0.8,0.85,3050,0.9311,0.9686,0.0796,0.5341,0.9981,0.921,0.079,0.0
implementation_mechanism,single_risk,0.85,0.9,2512,0.928,0.9632,0.0718,0.5757,0.9962,0.9367,0.0633,0.0
implementation_mechanism,single_risk,0.9,0.95,2383,0.9644,0.9923,0.0579,0.5756,1.0,0.9715,0.0285,0.0
implementation_mechanism,monotonic,EDGE,0.8,2220,0.9113,0.9376,0.0739,0.4313,0.9922,0.9212,0.0784,0.0005
implementation_mechanism,monotonic,0.8,0.85,2734,0.9386,0.9719,0.0735,0.4931,0.998,0.9393,0.0604,0.0004
implementation_mechanism,monotonic,0.85,0.9,2429,0.9432,0.9748,0.0666,0.5974,0.9974,0.9539,0.0461,0.0
implementation_mechanism,monotonic,0.9,0.95,2330,0.9587,0.9906,0.0582,0.6273,0.9991,0.9794,0.0206,0.0
implementation_mechanism,both,EDGE,0.8,2217,0.9142,0.9432,0.0753,0.4295,0.9922,0.9071,0.0925,0.0005
implementation_mechanism,both,0.8,0.85,2697,0.9409,0.9801,0.0762,0.4922,0.997,0.9351,0.0645,0.0004
implementation_mechanism,both,0.85,0.9,2419,0.946,0.9672,0.0659,0.5115,0.9985,0.952,0.048,0.0
