edge_config,mode,node_type,cluster_id,n_sources,cluster_size,nodes_with_sources
EDGE,unconstrained,all_concepts,25,0,14,0
EDGE,unconstrained,all_concepts,29,0,1,0
EDGE,unconstrained,problem_analysis,4,0,108,0
EDGE,unconstrained,problem_analysis,32,0,67,0
EDGE,unconstrained,problem_analysis,13,0,46,0
EDGE,unconstrained,problem_analysis,14,0,54,0
EDGE,unconstrained,problem_analysis,21,0,58,0
EDGE,unconstrained,problem_analysis,28,0,75,0
EDGE,unconstrained,problem_analysis,12,0,176,0
EDGE,unconstrained,problem_analysis,36,0,87,0
EDGE,unconstrained,problem_analysis,5,0,197,0
EDGE,unconstrained,problem_analysis,10,0,75,0
EDGE,unconstrained,problem_analysis,25,0,51,0
EDGE,unconstrained,problem_analysis,38,0,61,0
EDGE,unconstrained,problem_analysis,19,0,101,0
EDGE,unconstrained,problem_analysis,34,0,74,0
EDGE,unconstrained,problem_analysis,23,0,31,0
EDGE,unconstrained,problem_analysis,20,0,87,0
EDGE,unconstrained,problem_analysis,35,0,117,0
EDGE,unconstrained,problem_analysis,31,0,58,0
EDGE,unconstrained,problem_analysis,0,0,112,0
EDGE,unconstrained,problem_analysis,26,0,89,0
EDGE,unconstrained,problem_analysis,8,0,86,0
EDGE,unconstrained,problem_analysis,27,0,46,0
EDGE,unconstrained,problem_analysis,17,0,37,0
EDGE,unconstrained,problem_analysis,33,0,20,0
EDGE,unconstrained,problem_analysis,9,0,87,0
EDGE,unconstrained,problem_analysis,37,0,26,0
EDGE,unconstrained,problem_analysis,16,0,49,0
EDGE,unconstrained,problem_analysis,1,0,58,0
EDGE,unconstrained,problem_analysis,2,0,39,0
EDGE,unconstrained,problem_analysis,24,0,29,0
EDGE,unconstrained,problem_analysis,6,0,24,0
EDGE,unconstrained,problem_analysis,18,0,32,0
EDGE,unconstrained,problem_analysis,11,0,66,0
EDGE,unconstrained,problem_analysis,7,0,84,0
EDGE,unconstrained,problem_analysis,22,0,22,0
EDGE,unconstrained,problem_analysis,3,0,31,0
EDGE,unconstrained,problem_analysis,15,0,11,0
EDGE,unconstrained,problem_analysis,29,0,43,0
EDGE,unconstrained,problem_analysis,39,0,10,0
EDGE,unconstrained,problem_analysis,30,0,7,0
EDGE,unconstrained,theoretical_insight,24,0,26,0
EDGE,unconstrained,theoretical_insight,39,0,23,0
EDGE,unconstrained,theoretical_insight,32,0,78,0
EDGE,unconstrained,theoretical_insight,3,0,43,0
EDGE,unconstrained,theoretical_insight,9,0,81,0
EDGE,unconstrained,theoretical_insight,15,0,128,0
EDGE,unconstrained,theoretical_insight,33,0,37,0
EDGE,unconstrained,theoretical_insight,11,0,117,0
EDGE,unconstrained,theoretical_insight,1,0,122,0
EDGE,unconstrained,theoretical_insight,12,0,92,0
EDGE,unconstrained,theoretical_insight,4,0,96,0
EDGE,unconstrained,theoretical_insight,36,0,29,0
EDGE,unconstrained,theoretical_insight,34,0,45,0
EDGE,unconstrained,theoretical_insight,17,0,110,0
EDGE,unconstrained,theoretical_insight,0,0,119,0
EDGE,unconstrained,theoretical_insight,7,0,68,0
EDGE,unconstrained,theoretical_insight,14,0,68,0
EDGE,unconstrained,theoretical_insight,6,0,173,0
EDGE,unconstrained,theoretical_insight,23,0,86,0
EDGE,unconstrained,theoretical_insight,37,0,54,0
EDGE,unconstrained,theoretical_insight,16,0,68,0
EDGE,unconstrained,theoretical_insight,35,0,13,0
EDGE,unconstrained,theoretical_insight,22,0,42,0
EDGE,unconstrained,theoretical_insight,27,0,18,0
EDGE,unconstrained,theoretical_insight,2,0,69,0
EDGE,unconstrained,theoretical_insight,21,0,32,0
EDGE,unconstrained,theoretical_insight,18,0,84,0
EDGE,unconstrained,theoretical_insight,28,0,10,0
