node_type,mode,threshold_1,threshold_2,ari,n_common_nodes,distance
all_concepts,monotonic,EDGE,0.9,0.5938638305520775,11446,3
all_concepts,monotonic,EDGE,0.95,0.6502257081791866,11462,4
all_concepts,monotonic,0.8,0.85,0.5283296171250806,14678,1
all_concepts,monotonic,0.8,0.9,0.40238326426850995,11844,2
all_concepts,monotonic,0.8,0.95,0.3619888164637698,11084,3
all_concepts,monotonic,0.85,0.9,0.5074274611971875,12229,1
all_concepts,monotonic,0.85,0.95,0.48139875590248155,11332,2
all_concepts,monotonic,0.9,0.95,0.5661082780367644,11469,1
all_concepts,both,EDGE,0.8,0.38895282336870746,11059,1
all_concepts,both,EDGE,0.85,0.47765943401548666,11318,2
all_concepts,both,EDGE,0.9,0.5521442837893564,11446,3
all_concepts,both,EDGE,0.95,0.6087621499193574,11462,4
all_concepts,both,0.8,0.85,0.6032241829261783,14083,1
all_concepts,both,0.8,0.9,0.41850541968857763,11683,2
all_concepts,both,0.8,0.95,0.3638242122158816,11072,3
all_concepts,both,0.85,0.9,0.5053960232500603,12055,1
all_concepts,both,0.85,0.95,0.4644760384949731,11331,2
all_concepts,both,0.9,0.95,0.5887403766349747,11463,1
problem_analysis,unconstrained,EDGE,0.8,0.3743804713375253,2508,1
problem_analysis,unconstrained,EDGE,0.85,0.4947647666999232,2508,2
problem_analysis,unconstrained,EDGE,0.9,0.5816771239249958,2524,3
problem_analysis,unconstrained,EDGE,0.95,0.7872171101333498,2530,4
problem_analysis,unconstrained,0.8,0.85,0.6390150336310493,5062,1
problem_analysis,unconstrained,0.8,0.9,0.4915007162478415,3311,2
problem_analysis,unconstrained,0.8,0.95,0.40346372688535115,2563,3
problem_analysis,unconstrained,0.85,0.9,0.5818527945615845,3357,1
problem_analysis,unconstrained,0.85,0.95,0.5041173938693676,2564,2
problem_analysis,unconstrained,0.9,0.95,0.5991826954673716,2581,1
problem_analysis,single_risk,EDGE,0.8,0.4066140390067547,2450,1
problem_analysis,single_risk,EDGE,0.85,0.5022227100736036,2460,2
problem_analysis,single_risk,EDGE,0.9,0.6606009414017845,2475,3
problem_analysis,single_risk,EDGE,0.95,0.7757572965996251,2480,4
problem_analysis,single_risk,0.8,0.85,0.6178172045067337,3920,1
problem_analysis,single_risk,0.8,0.9,0.4640250266248385,2809,2
problem_analysis,single_risk,0.8,0.95,0.3935314269866569,2456,3
problem_analysis,single_risk,0.85,0.9,0.5909909010849334,2845,1
problem_analysis,single_risk,0.85,0.95,0.4855391026546319,2466,2
problem_analysis,single_risk,0.9,0.95,0.6074535760247707,2482,1
problem_analysis,monotonic,EDGE,0.8,0.420647836627492,2398,1
problem_analysis,monotonic,EDGE,0.85,0.5081229707861307,2408,2
problem_analysis,monotonic,EDGE,0.9,0.6641156319762247,2424,3
problem_analysis,monotonic,EDGE,0.95,0.7756612282738595,2429,4
problem_analysis,monotonic,0.8,0.85,0.5910551621103908,4023,1
problem_analysis,monotonic,0.8,0.9,0.4451767428724011,2812,2
problem_analysis,monotonic,0.8,0.95,0.3945540564615795,2403,3
problem_analysis,monotonic,0.85,0.9,0.5693262297551591,2859,1
problem_analysis,monotonic,0.85,0.95,0.4932149794492544,2414,2
problem_analysis,monotonic,0.9,0.95,0.6431245225638029,2433,1
problem_analysis,both,EDGE,0.8,0.43121969657146214,2395,1
problem_analysis,both,EDGE,0.85,0.5508986583276466,2408,2
problem_analysis,both,EDGE,0.9,0.6539745027221108,2424,3
problem_analysis,both,EDGE,0.95,0.7905550521186986,2429,4
problem_analysis,both,0.8,0.85,0.6311667236368181,3670,1
problem_analysis,both,0.8,0.9,0.4765062495076978,2709,2
problem_analysis,both,0.8,0.95,0.43211533073864367,2400,3
problem_analysis,both,0.85,0.9,0.6006863817706868,2748,1
problem_analysis,both,0.85,0.95,0.5948512566809462,2414,2
problem_analysis,both,0.9,0.95,0.7259398753939406,2431,1
theoretical_insight,unconstrained,EDGE,0.8,0.46979607546648827,2206,1
theoretical_insight,unconstrained,EDGE,0.85,0.49771731716749346,2228,2
theoretical_insight,unconstrained,EDGE,0.9,0.5809271217718274,2241,3
theoretical_insight,unconstrained,EDGE,0.95,0.7004565820027469,2246,4
theoretical_insight,unconstrained,0.8,0.85,0.5543441362622292,3143,1
theoretical_insight,unconstrained,0.8,0.9,0.43573978882544995,2430,2
theoretical_insight,unconstrained,0.8,0.95,0.4702086647851951,2219,3
theoretical_insight,unconstrained,0.85,0.9,0.42171716810822796,2475,1
theoretical_insight,unconstrained,0.85,0.95,0.48278774424307835,2243,2
theoretical_insight,unconstrained,0.9,0.95,0.5460724223908767,2255,1
theoretical_insight,single_risk,EDGE,0.8,0.4394938661943706,2200,1
theoretical_insight,single_risk,EDGE,0.85,0.47712385189344225,2225,2
theoretical_insight,single_risk,EDGE,0.9,0.6780769411088748,2238,3
theoretical_insight,single_risk,EDGE,0.95,0.6816693556534351,2241,4
theoretical_insight,single_risk,0.8,0.85,0.5089773083788717,2933,1
theoretical_insight,single_risk,0.8,0.9,0.4353462082678114,2340,2
theoretical_insight,single_risk,0.8,0.95,0.4588026511511827,2203,3
theoretical_insight,single_risk,0.85,0.9,0.5198373036135908,2375,1
theoretical_insight,single_risk,0.85,0.95,0.5185272377295191,2227,2
theoretical_insight,single_risk,0.9,0.95,0.5846408714559569,2241,1
theoretical_insight,monotonic,EDGE,0.8,0.4371876375259164,2150,1
