node_type,mode,threshold_from,threshold_to,n_common_nodes,n_migrations,migration_rate
design_rationale,both,0.85,0.9,2288,2267,0.9908216783216783
design_rationale,both,0.9,0.95,2216,2193,0.9896209386281588
implementation_mechanism,unconstrained,EDGE,0.8,2286,2190,0.958005249343832
implementation_mechanism,unconstrained,0.8,0.85,3106,3101,0.998390212491951
implementation_mechanism,unconstrained,0.85,0.9,2543,2183,0.8584349193865514
implementation_mechanism,unconstrained,0.9,0.95,2386,2214,0.9279128248113998
implementation_mechanism,single_risk,EDGE,0.8,2284,2257,0.9881786339754816
implementation_mechanism,single_risk,0.8,0.85,3050,2976,0.9757377049180328
implementation_mechanism,single_risk,0.85,0.9,2512,2345,0.9335191082802548
implementation_mechanism,single_risk,0.9,0.95,2383,2254,0.9458665547629039
implementation_mechanism,monotonic,EDGE,0.8,2220,2219,0.9995495495495496
implementation_mechanism,monotonic,0.8,0.85,2734,2577,0.9425749817117776
implementation_mechanism,monotonic,0.85,0.9,2429,2415,0.9942363112391931
implementation_mechanism,monotonic,0.9,0.95,2330,2311,0.9918454935622317
implementation_mechanism,both,EDGE,0.8,2217,2127,0.959404600811908
implementation_mechanism,both,0.8,0.85,2697,2667,0.9888765294771968
implementation_mechanism,both,0.85,0.9,2419,2227,0.9206283588259612
implementation_mechanism,both,0.9,0.95,2329,2289,0.982825246887076
validation_evidence,unconstrained,EDGE,0.8,2224,1960,0.8812949640287769
validation_evidence,unconstrained,0.8,0.85,2706,2649,0.9789356984478935
validation_evidence,unconstrained,0.85,0.9,2405,2282,0.9488565488565489
validation_evidence,unconstrained,0.9,0.95,2351,2290,0.9740535942152275
validation_evidence,single_risk,EDGE,0.8,2222,2114,0.9513951395139514
validation_evidence,single_risk,0.8,0.85,2665,2636,0.9891181988742964
validation_evidence,single_risk,0.85,0.9,2386,2353,0.9861693210393965
validation_evidence,single_risk,0.9,0.95,2349,2323,0.988931460195828
validation_evidence,monotonic,EDGE,0.8,2163,2140,0.9893666204345816
validation_evidence,monotonic,0.8,0.85,2479,2435,0.982250907624042
validation_evidence,monotonic,0.85,0.9,2320,2302,0.9922413793103448
validation_evidence,monotonic,0.9,0.95,2295,2282,0.9943355119825708
validation_evidence,both,EDGE,0.8,2160,1975,0.9143518518518519
validation_evidence,both,0.8,0.85,2439,2294,0.940549405494055
validation_evidence,both,0.85,0.9,2314,2287,0.9883318928262749
validation_evidence,both,0.9,0.95,2294,2212,0.9642545771578029
