edge_config,mode,cluster_id,cluster_size,n_interventions,design_count,training_count,deployment_count,design_pct,training_pct,deployment_pct,dominant_stage
0.8,monotonic,15,304,304,5,4,295,0.01644736842105263,0.013157894736842105,0.9703947368421053,Deployment
0.8,monotonic,35,38,38,11,5,22,0.2894736842105263,0.13157894736842105,0.5789473684210527,Deployment
0.8,monotonic,21,79,79,31,1,47,0.3924050632911392,0.012658227848101266,0.5949367088607594,Deployment
0.8,monotonic,8,169,169,4,0,165,0.023668639053254437,0.0,0.9763313609467456,Deployment
0.8,monotonic,10,139,139,31,1,107,0.22302158273381295,0.007194244604316547,0.7697841726618705,Deployment
0.8,monotonic,14,221,221,17,0,204,0.07692307692307693,0.0,0.9230769230769231,Deployment
0.8,monotonic,39,42,42,0,0,42,0.0,0.0,1.0,Deployment
0.8,monotonic,4,207,207,3,0,204,0.014492753623188406,0.0,0.9855072463768116,Deployment
0.8,monotonic,3,64,64,8,4,52,0.125,0.0625,0.8125,Deployment
0.8,monotonic,12,295,295,58,5,232,0.19661016949152543,0.01694915254237288,0.7864406779661017,Deployment
0.8,monotonic,23,27,27,0,0,27,0.0,0.0,1.0,Deployment
0.8,monotonic,13,54,54,0,51,3,0.0,0.9444444444444444,0.05555555555555555,Training
0.8,monotonic,38,30,30,0,8,22,0.0,0.26666666666666666,0.7333333333333333,Deployment
0.8,monotonic,37,212,212,1,2,209,0.0047169811320754715,0.009433962264150943,0.9858490566037735,Deployment
0.8,monotonic,24,39,39,0,0,39,0.0,0.0,1.0,Deployment
0.8,monotonic,28,35,35,0,0,35,0.0,0.0,1.0,Deployment
0.8,monotonic,30,39,39,4,1,34,0.10256410256410256,0.02564102564102564,0.8717948717948718,Deployment
0.8,monotonic,5,34,34,2,31,1,0.058823529411764705,0.9117647058823529,0.029411764705882353,Training
0.8,monotonic,33,39,39,13,11,15,0.3333333333333333,0.28205128205128205,0.38461538461538464,Deployment
0.8,monotonic,27,19,19,0,19,0,0.0,1.0,0.0,Training
0.8,monotonic,9,14,14,4,0,10,0.2857142857142857,0.0,0.7142857142857143,Deployment
