node_type,edge_config,mode,n_clusters,n_embeddings,n_edge_only,cluster_size_mean,cluster_size_median,cluster_size_std,cluster_size_min,cluster_size_max,silhouette_mean,silhouette_median,silhouette_min,silhouette_max,edge_validation_mean,edge_validation_min,edge_validation_max,n_pathways,path_length_mean,path_length_median
risk,0.85,monotonic,66,6897,16668,130.1320754716981,114.0,92.1558437496063,13,410,0.5951423048973083,0.5951423048973083,0.5750160813331604,0.6152685284614563,0.363284296463945,0.081967213114754,0.9117647058823528,1581435,10.148250165198064,10.0
risk,0.85,both,43,3426,16604,82.55421686746988,86.0,55.0809378200271,3,302,0.4699672162532806,0.4699672162532806,0.4156733155250549,0.5242611169815063,0.730612608254906,0.2666666666666666,1.0,55619,8.661824196767292,9.0
risk,0.9,unconstrained,58,4889,17136,99.77551020408164,91.0,73.10511451052405,3,367,0.5403291881084442,0.5403291881084442,0.4937184453010559,0.5869399309158325,0.5602862812701983,0.1052631578947368,1.0,1054527,14.317058738183093,13.0
risk,0.9,single_risk,40,2814,16965,71.24050632911393,68.0,42.61966479914796,1,196,0.5149587392807007,0.5149587392807007,0.5012378096580505,0.5286796689033508,0.9058099095158384,0.5555555555555556,1.0,7103,9.061804871181192,8.0
risk,0.9,monotonic,48,4490,16668,102.04545454545456,92.5,66.38402551047358,9,345,0.553881362080574,0.553881362080574,0.4955059587955475,0.6122567653656006,0.5807176321252543,0.1176470588235294,1.0,336092,10.24367435107054,10.0
risk,0.9,both,40,2732,16604,72.85333333333334,70.0,44.402009964515,1,214,0.5193306058645248,0.5193306058645248,0.4689421355724334,0.5697190761566162,0.9083393117679034,0.5769230769230769,1.0,5939,7.95841050681933,7.0
risk,0.95,unconstrained,43,3227,17136,77.75903614457832,70.0,48.2065311681286,4,205,0.5294180512428284,0.5294180512428284,0.4820175766944885,0.5768185257911682,0.8302407635391834,0.232,1.0,60139,12.097357787791616,11.0
risk,0.95,single_risk,40,2536,16965,70.44444444444444,69.0,39.33894341661711,1,177,0.4703726470470428,0.4703726470470428,0.3935217261314392,0.5472235679626465,0.9977834167696396,0.9672131147540984,1.0,3319,6.793612533895752,7.0
risk,0.95,monotonic,42,3086,16668,75.26829268292683,64.0,47.37964181017706,1,245,0.5458786487579346,0.5458786487579346,0.5049111247062683,0.5868461728096008,0.8498507888722899,0.203883495145631,1.0,46856,10.725478060440498,11.0
risk,0.95,both,40,2475,16604,68.75,66.0,36.37106221526486,1,150,0.4941112995147705,0.4941112995147705,0.4477438330650329,0.5404787659645081,0.9976531367914496,0.9692307692307692,1.0,3216,6.745957711442786,7.0
intervention,EDGE,unconstrained,40,2714,17136,76.45070422535211,64.0,54.2123598849266,6,215,0.4200884252786636,0.4200884252786636,0.356678694486618,0.4834981560707092,1.0,1.0,1.0,3473,6.861790958825223,7.0
intervention,EDGE,single_risk,40,2714,16965,74.35616438356165,64.0,51.98455246394921,6,215,0.4213501811027527,0.4213501811027527,0.3592022061347961,0.4834981560707092,1.0,1.0,1.0,3306,6.787356321839081,7.0
intervention,EDGE,monotonic,40,2670,16668,75.21126760563381,63.0,51.95635099054139,1,227,0.4439222812652588,0.4439222812652588,0.4021212458610534,0.4857233166694641,1.0,1.0,1.0,3301,6.788245986064829,7.0
intervention,EDGE,both,40,2670,16604,75.21126760563381,62.0,51.75753751814775,1,227,0.4497832953929901,0.4497832953929901,0.4138432741165161,0.4857233166694641,1.0,1.0,1.0,3203,6.739306899781455,7.0
intervention,0.8,unconstrained,53,5493,17136,118.12903225806453,88.0,95.01128691370808,12,398,0.530950203537941,0.530950203537941,0.4941224157810211,0.5677779912948608,0.4892587581041823,0.064516129032258,0.978021978021978,10659319,12.03663892599518,11.0
