edge_config,mode,node_type,agg_silhouette,agg_n_clusters,louvain_silhouette,louvain_n_clusters,hdbscan_silhouette,hdbscan_n_clusters,hdbscan_noise_pct,sil_diff_louvain_minus_agg,sil_diff_hdbscan_minus_agg
EDGE,monotonic,validation_evidence,0.4164203107357025,40,0.002170451683923602,30,0.1420789361000061,2,75.75,-0.4142498590517789,-0.2743413746356964
EDGE,both,risk,0.4839991778135299,40,-0.005391797982156277,30,0.47849029302597046,3,83.25,-0.4893909757956862,-0.005508884787559454
EDGE,both,intervention,0.4497832953929901,40,0.02419540472328663,31,0.29596248269081116,4,83.25,-0.4255878906697035,-0.15382081270217896
EDGE,both,all_concepts,0.3074493631720543,40,-0.03025973029434681,61,0.18988969922065735,2,89.5,-0.3377090934664011,-0.11755966395139694
EDGE,both,problem_analysis,0.4495115727186203,40,0.021936077624559402,31,0.3374677002429962,3,86.5,-0.4275754950940609,-0.11204387247562408
EDGE,both,theoretical_insight,0.3826689720153808,40,0.008717074058949947,27,0.17323625087738037,2,88.5,-0.37395189795643086,-0.20943272113800043
EDGE,both,design_rationale,0.3978550136089325,40,0.01132113579660654,29,0.2233913689851761,2,92.25,-0.38653387781232595,-0.1744636446237564
EDGE,both,implementation_mechanism,0.3955676853656769,40,0.010669086128473282,32,0.38156604766845703,2,93.5,-0.3848985992372036,-0.014001637697219849
EDGE,both,validation_evidence,0.4112739711999893,40,-0.012340179644525051,28,0.21371768414974213,2,94.0,-0.42361415084451437,-0.1975562870502472
0.8,unconstrained,risk,0.5583221316337585,40,0.018271517008543015,80,0.3725479543209076,2,60.25,-0.5400506146252155,-0.18577417731285095
0.8,unconstrained,intervention,0.530950203537941,40,0.014059636741876602,53,0.3617114722728729,5,78.0,-0.5168905667960644,-0.16923873126506805
0.8,unconstrained,all_concepts,0.3780267536640167,40,-0.01554385107010603,109,0.21497809886932373,3,87.75,-0.39357060473412275,-0.163048654794693
