,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.9999997,0.67880267,0.80621773,0.7674165,0.63028777,0.6816059,0.86632156,0.68249315,0.56710607,0.8734231,0.5232187,0.5757019,0.6709533,0.75834346,0.46411398,0.6515933,0.8120681,0.67861605,0.8078102,0.8326477,0.72887117,0.63729537,0.77429044,0.7066948,0.7261015,0.7143854,0.85803205,0.8103248,0.40936998,0.54582137,0.75870955,0.6165658,0.7818248,0.5554928,0.85661316,0.78774637,0.8334783,0.6092551,0.60375875,0.45749208
1,0.67880267,0.9999997,0.80691314,0.78427553,0.89375454,0.8792904,0.70080405,0.7475848,0.7253109,0.71434414,0.75057554,0.8087224,0.7876544,0.76791114,0.6518785,0.84044284,0.73762053,0.8923096,0.7153494,0.7399136,0.5838715,0.81884086,0.87650377,0.86001843,0.61263305,0.86667454,0.7250763,0.5675958,0.6105217,0.5930431,0.57036054,0.8497919,0.63391006,0.7291326,0.6645045,0.6712245,0.67115104,0.55782366,0.76960516,0.587382
2,0.80621773,0.80691314,1.0,0.84083426,0.73756653,0.7773322,0.75021744,0.74332225,0.6737468,0.84908855,0.64231235,0.70666397,0.6780458,0.80409664,0.57346267,0.7096095,0.765159,0.8159097,0.77972513,0.9013339,0.7565533,0.7337187,0.76970446,0.88637954,0.7342854,0.83859897,0.9123428,0.73331136,0.48495734,0.63857996,0.76331764,0.7937596,0.78092813,0.64734495,0.7491251,0.84531826,0.712647,0.59205383,0.74194264,0.5310106
3,0.7674165,0.78427553,0.84083426,0.9999999,0.7365406,0.72272855,0.7156073,0.6974142,0.6605773,0.8415413,0.64563626,0.69739234,0.6785374,0.72609454,0.50956005,0.6920983,0.75174856,0.7593486,0.69124717,0.74781597,0.63137215,0.7241093,0.7493922,0.77146965,0.61332566,0.81497824,0.74965984,0.64091384,0.4697276,0.64501023,0.6239355,0.74256927,0.6481751,0.5909772,0.70565915,0.6878069,0.6746564,0.49809608,0.72036695,0.6101938
4,0.63028777,0.89375454,0.73756653,0.7365406,1.0000001,0.8513872,0.6608105,0.7023022,0.7780453,0.645122,0.88311356,0.8614952,0.7972528,0.7024771,0.6608123,0.7755542,0.64522916,0.82871675,0.6697905,0.6784348,0.52372193,0.7730207,0.7898015,0.780635,0.59986895,0.8127314,0.68643856,0.55564994,0.6929933,0.59732246,0.51397777,0.78501797,0.6419573,0.69873834,0.5992743,0.64046293,0.6279804,0.5160364,0.77020025,0.715106
5,0.6816059,0.8792904,0.7773322,0.72272855,0.8513872,1.0000002,0.73884743,0.7370836,0.68275905,0.6669609,0.6884778,0.7691047,0.83033854,0.7342083,0.59560716,0.86486346,0.740444,0.80223405,0.7389518,0.7501414,0.5875373,0.81771463,0.8185089,0.79690975,0.64739484,0.80079716,0.7344927,0.5861517,0.5796956,0.63119835,0.5772514,0.7749385,0.66227376,0.6908839,0.6741702,0.69137716,0.687479,0.5620711,0.73187846,0.5513624
6,0.86632156,0.70080405,0.75021744,0.7156073,0.6608105,0.73884743,1.0,0.7074666,0.56778336,0.777108,0.5350373,0.5964502,0.68320656,0.7289988,0.45397973,0.6584928,0.7691455,0.6679257,0.81555295,0.8082226,0.64832574,0.64306533,0.76635927,0.6833043,0.70523965,0.6997322,0.81293225,0.7435667,0.4134847,0.5079231,0.680542,0.6215073,0.7064815,0.54977536,0.8237872,0.7499593,0.84457016,0.5830998,0.60914814,0.47134095
7,0.68249315,0.7475848,0.74332225,0.6974142,0.7023022,0.7370836,0.7074666,1.0,0.6428758,0.7355736,0.58956367,0.7114561,0.7519113,0.68186945,0.5295898,0.7018794,0.7370876,0.6843351,0.7440244,0.808286,0.61799574,0.6390181,0.71309537,0.6782913,0.62633353,0.7310414,0.69188344,0.5512391,0.43383253,0.6544537,0.557265,0.7342467,0.568248,0.5919205,0.7670895,0.7031639,0.77626127,0.49215472,0.69951427,0.44209498
8,0.56710607,0.7253109,0.6737468,0.6605773,0.7780453,0.68275905,0.56778336,0.6428758,1.0,0.60550356,0.8057916,0.87105614,0.7115843,0.6365973,0.71416557,0.6113581,0.56573975,0.6737719,0.6317995,0.62814337,0.49330232,0.6379333,0.60041684,0.6715714,0.60224706,0.6942327,0.63769025,0.51979256,0.59640646,0.6175801,0.48720288,0.75952005,0.59826905,0.543881,0.55789554,0.6339711,0.59643495,0.47041887,0.7626511,0.6027592
9,0.8734231,0.71434414,0.84908855,0.8415413,0.645122,0.6669609,0.777108,0.7355736,0.60550356,1.0000001,0.55605406,0.61594546,0.6352294,0.73105645,0.4860043,0.6659563,0.78168225,0.7063134,0.76344675,0.8084625,0.6913949,0.6566715,0.7392957,0.7176781,0.66554165,0.76423347,0.7776584,0.6838053,0.4132502,0.6380156,0.70865226,0.70600957,0.6588649,0.57559514,0.8666299,0.7402458,0.78575104,0.56293297,0.62923217,0.48738423
10,0.5232187,0.75057554,0.64231235,0.64563626,0.88311356,0.6884778,0.5350373,0.58956367,0.8057916,0.55605406,0.9999998,0.84313965,0.70817584,0.6031578,0.6350237,0.62216914,0.51296526,0.70220155,0.58648354,0.5823808,0.43708828,0.652014,0.62735486,0.66868615,0.5521566,0.7052957,0.6038732,0.48072737,0.6624018,0.53220063,0.42463073,0.7233679,0.59448326,0.5695937,0.49673912,0.5783744,0.52940434,0.42876953,0.74540484,0.73466396
11,0.5757019,0.8087224,0.70666397,0.69739234,0.8614952,0.7691047,0.5964502,0.7114561,0.87105614,0.61594546,0.84313965,0.99999976,0.7617558,0.702398,0.77511144,0.7148379,0.6275411,0.73580444,0.66850317,0.65196496,0.506701,0.68990946,0.6778606,0.6999457,0.5983667,0.7753899,0.64582944,0.53135777,0.6079242,0.63201565,0.49504414,0.8063245,0.5766367,0.62596023,0.5814396,0.6339781,0.61181265,0.5072896,0.8399308,0.6203623
12,0.6709533,0.7876544,0.6780458,0.6785374,0.7972528,0.83033854,0.68320656,0.7519113,0.7115843,0.6352294,0.70817584,0.7617558,1.0000001,0.7351823,0.572225,0.79450166,0.723178,0.7160771,0.73620284,0.69020754,0.5472256,0.7085542,0.7639795,0.7012253,0.6344303,0.77496386,0.6767016,0.5723138,0.5091093,0.60361326,0.5175635,0.73927504,0.6311189,0.6642217,0.64768094,0.674293,0.7286002,0.5297562,0.7522565,0.51466227
13,0.75834346,0.76791114,0.80409664,0.72609454,0.7024771,0.7342083,0.7289988,0.68186945,0.6365973,0.73105645,0.6031578,0.702398,0.7351823,0.99999976,0.5857886,0.6643051,0.7673733,0.7761137,0.7901515,0.7711594,0.67277455,0.61912346,0.7974735,0.7634548,0.7342385,0.79964155,0.8065709,0.726392,0.43792623,0.5201528,0.6752837,0.75674415,0.72198266,0.70280147,0.70147395,0.82184124,0.7113857,0.6068585,0.7343902,0.44091937
14,0.46411398,0.6518785,0.57346267,0.50956005,0.6608123,0.59560716,0.45397973,0.5295898,0.71416557,0.4860043,0.6350237,0.77511144,0.572225,0.5857886,1.0000001,0.5446922,0.46045148,0.640129,0.53874695,0.53032964,0.46271926,0.53543997,0.5317921,0.5891562,0.5098617,0.6049116,0.5292145,0.42856723,0.48012984,0.47713646,0.4487732,0.6806804,0.48420063,0.6024951,0.45083168,0.52037996,0.4645084,0.4320061,0.64547145,0.39858598
15,0.6515933,0.84044284,0.7096095,0.6920983,0.7755542,0.86486346,0.6584928,0.7018794,0.6113581,0.6659563,0.62216914,0.7148379,0.79450166,0.6643051,0.5446922,0.9999998,0.69280773,0.75595915,0.70449376,0.6813804,0.5337956,0.81371677,0.7941694,0.7339623,0.5837019,0.82051057,0.6549715,0.52913815,0.48740357,0.60237396,0.5017172,0.72054076,0.58698463,0.66178095,0.6514183,0.6190745,0.66179645,0.5360886,0.655561,0.4984274
16,0.8120681,0.73762053,0.765159,0.75174856,0.64522916,0.740444,0.7691455,0.7370876,0.56573975,0.78168225,0.51296526,0.6275411,0.723178,0.7673733,0.46045148,0.69280773,0.9999999,0.6909409,0.74681526,0.7657151,0.62923014,0.62225527,0.7983603,0.68248457,0.60886204,0.7513497,0.7372392,0.6379802,0.4049955,0.5831764,0.6556502,0.67070615,0.60434616,0.5757163,0.77999485,0.6886661,0.77646106,0.52429986,0.70216715,0.39783826
17,0.67861605,0.8923096,0.8159097,0.7593486,0.82871675,0.80223405,0.6679257,0.6843351,0.6737719,0.7063134,0.70220155,0.73580444,0.7160771,0.7761137,0.640129,0.75595915,0.6909409,1.0000001,0.7034707,0.731863,0.64930636,0.7459514,0.8329867,0.8638271,0.62971383,0.85163337,0.7570009,0.6102421,0.599633,0.5827316,0.6092633,0.83235466,0.6811635,0.7965604,0.6354428,0.69095427,0.6403238,0.5767882,0.71481836,0.5681209
18,0.8078102,0.7153494,0.77972513,0.69124717,0.6697905,0.7389518,0.81555295,0.7440244,0.6317995,0.76344675,0.58648354,0.66850317,0.73620284,0.7901515,0.53874695,0.70449376,0.74681526,0.7034707,1.0000001,0.83338416,0.66619575,0.6644692,0.75293237,0.685792,0.8890857,0.75210714,0.82898855,0.7788754,0.42787153,0.5848128,0.67725253,0.72871476,0.7472344,0.65405726,0.8428027,0.87018216,0.76760787,0.6473744,0.64950186,0.44590172
19,0.8326477,0.7399136,0.9013339,0.74781597,0.6784348,0.7501414,0.8082226,0.808286,0.62814337,0.8084625,0.5823808,0.65196496,0.69020754,0.7711594,0.53032964,0.6813804,0.7657151,0.731863,0.83338416,1.0000002,0.76995796,0.6678635,0.7505098,0.80851126,0.77451724,0.7714481,0.9248468,0.7642281,0.42634186,0.58908725,0.74940956,0.7306762,0.7668213,0.6196358,0.85243535,0.87178195,0.790504,0.6024024,0.6884797,0.44175696
20,0.72887117,0.5838715,0.7565533,0.63137215,0.52372193,0.5875373,0.64832574,0.61799574,0.49330232,0.6913949,0.43708828,0.506701,0.5472256,0.67277455,0.46271926,0.5337956,0.62923014,0.64930636,0.66619575,0.76995796,0.9999998,0.5274711,0.63179016,0.66944015,0.6508696,0.6281484,0.8043332,0.6788455,0.32922915,0.48572657,0.68669474,0.5579356,0.72497475,0.54467773,0.63720113,0.741177,0.64774454,0.5268862,0.5457159,0.36927688
21,0.63729537,0.81884086,0.7337187,0.7241093,0.7730207,0.81771463,0.64306533,0.6390181,0.6379333,0.6566715,0.652014,0.68990946,0.7085542,0.61912346,0.53543997,0.81371677,0.62225527,0.7459514,0.6644692,0.6678635,0.5274711,1.0,0.7275402,0.7759966,0.6031672,0.7885135,0.6808119,0.5695784,0.5560496,0.599941,0.51828444,0.7161194,0.61450636,0.6088078,0.60028416,0.61406344,0.5872934,0.5137976,0.64355046,0.5465501
22,0.77429044,0.87650377,0.76970446,0.7493922,0.7898015,0.8185089,0.76635927,0.71309537,0.60041684,0.7392957,0.62735486,0.6778606,0.7639795,0.7974735,0.5317921,0.7941694,0.7983603,0.8329867,0.75293237,0.7505098,0.63179016,0.7275402,1.0000001,0.7976778,0.64596236,0.8282721,0.7507218,0.6734141,0.48990592,0.5450017,0.5994027,0.7246152,0.66555893,0.7053374,0.7380462,0.69470894,0.7327492,0.5801015,0.7015489,0.534116
23,0.7066948,0.86001843,0.88637954,0.77146965,0.780635,0.79690975,0.6833043,0.6782913,0.6715714,0.7176781,0.66868615,0.6999457,0.7012253,0.7634548,0.5891562,0.7339623,0.68248457,0.8638271,0.685792,0.80851126,0.66944015,0.7759966,0.7976778,0.99999994,0.65668905,0.8413793,0.8429213,0.6697485,0.5443388,0.5781224,0.6683901,0.78795195,0.74702024,0.68577224,0.6320471,0.75852126,0.6318902,0.5464792,0.7265817,0.54062223
24,0.7261015,0.61263305,0.7342854,0.61332566,0.59986895,0.64739484,0.70523965,0.62633353,0.60224706,0.66554165,0.5521566,0.5983667,0.6344303,0.7342385,0.5098617,0.5837019,0.60886204,0.62971383,0.8890857,0.77451724,0.6508696,0.6031672,0.64596236,0.65668905,1.0,0.66871583,0.822615,0.84974504,0.4160209,0.5348714,0.6400689,0.63203037,0.77676857,0.5818912,0.7125,0.9222976,0.6273771,0.6265267,0.59443045,0.4011225
25,0.7143854,0.86667454,0.83859897,0.81497824,0.8127314,0.80079716,0.6997322,0.7310414,0.6942327,0.76423347,0.7052957,0.7753899,0.77496386,0.79964155,0.6049116,0.82051057,0.7513497,0.85163337,0.75210714,0.7714481,0.6281484,0.7885135,0.8282721,0.8413793,0.66871583,1.0000004,0.7670757,0.6466438,0.5317887,0.6303838,0.5926887,0.85479283,0.6796823,0.7521,0.6878355,0.7380229,0.6810905,0.5911473,0.8019529,0.54084975
26,0.85803205,0.7250763,0.9123428,0.74965984,0.68643856,0.7344927,0.81293225,0.69188344,0.63769025,0.7776584,0.6038732,0.64582944,0.6767016,0.8065709,0.5292145,0.6549715,0.7372392,0.7570009,0.82898855,0.9248468,0.8043332,0.6808119,0.7507218,0.8429213,0.822615,0.7670757,0.99999994,0.8557358,0.44108576,0.53989786,0.8000733,0.6971928,0.88523436,0.6164986,0.7540886,0.9165516,0.7412663,0.6155105,0.6868736,0.47698742
27,0.8103248,0.5675958,0.73331136,0.64091384,0.55564994,0.5861517,0.7435667,0.5512391,0.51979256,0.6838053,0.48072737,0.53135777,0.5723138,0.726392,0.42856723,0.52913815,0.6379802,0.6102421,0.7788754,0.7642281,0.6788455,0.5695784,0.6734141,0.6697485,0.84974504,0.6466438,0.8557358,1.0,0.34625727,0.451025,0.68823797,0.5403732,0.79669046,0.5296321,0.6993843,0.84775096,0.64110833,0.5809047,0.56096715,0.39279783
28,0.40936998,0.6105217,0.48495734,0.4697276,0.6929933,0.5796956,0.4134847,0.43383253,0.59640646,0.4132502,0.6624018,0.6079242,0.5091093,0.43792623,0.48012984,0.48740357,0.4049955,0.599633,0.42787153,0.42634186,0.32922915,0.5560496,0.48990592,0.5443388,0.4160209,0.5317887,0.44108576,0.34625727,1.0,0.45851848,0.3347799,0.53628206,0.4534454,0.49437925,0.37546307,0.41065508,0.38374823,0.38173527,0.5321292,0.6073506
29,0.54582137,0.5930431,0.63857996,0.64501023,0.59732246,0.63119835,0.5079231,0.6544537,0.6175801,0.6380156,0.53220063,0.63201565,0.60361326,0.5201528,0.47713646,0.60237396,0.5831764,0.5827316,0.5848128,0.58908725,0.48572657,0.599941,0.5450017,0.5781224,0.5348714,0.6303838,0.53989786,0.451025,0.45851848,1.0,0.45932275,0.6193525,0.46889898,0.47929284,0.5834317,0.5607042,0.5363667,0.46401992,0.61404604,0.47442594
30,0.75870955,0.57036054,0.76331764,0.6239355,0.51397777,0.5772514,0.680542,0.557265,0.48720288,0.70865226,0.42463073,0.49504414,0.5175635,0.6752837,0.4487732,0.5017172,0.6556502,0.6092633,0.67725253,0.74940956,0.68669474,0.51828444,0.5994027,0.6683901,0.6400689,0.5926887,0.8000733,0.68823797,0.3347799,0.45932275,0.99999994,0.5259975,0.70525086,0.48703262,0.66084504,0.7370427,0.61958355,0.51663435,0.537759,0.36629418
