url,n_nodes
https://forum.effectivealtruism.org/posts/bGzwWYfXgKqdurdmb/anthropic-s-responsible-scaling-policy-and-long-term-benefit,3
https://www.alignmentforum.org/posts/WknLjywekGajwD2fp/an-97-are-there-historical-examples-of-large-robust,3
https://www.alignmentforum.org/posts/PvuuBN39pmjw6wRpj/encultured-ai-part-1-appendix-relevant-research-examples,3
https://www.lesswrong.com/posts/wdekcGpsMtakGCo5y/on-openai-dev-day,3
https://forum.effectivealtruism.org/posts/cKbehBhq7NxTq3pck/a-case-study-of-regulation-done-well-canadian-biorisk,3
https://arxiv.org/abs/2108.02818,3
https://forum.effectivealtruism.org/posts/cbtoajkfeXqJAzhRi/metaculus-year-in-review-2022,3
https://intelligence.org/2014/02/15/andre-platzer-on-verifying-cyber-physical-systems/,3
https://www.alignmentforum.org/posts/QppXf4yfcG8JAKhnw/more-gpt-3-and-symbol-grounding,3
https://www.alignmentforum.org/posts/R6gPKJAq6dbuLNkwG/an-99-doubling-times-for-the-efficiency-of-ai-algorithms,3
https://arxiv.org/abs/2112.05135,3
https://www.alignmentforum.org/posts/57fTWCpsAyjeAimTp/interpretability-in-ml-a-broad-overview-2,3
https://arxiv.org/abs/1805.01772,3
https://arxiv.org/abs/2203.15414,3
https://www.youtube.com/watch?v=1wAgBaJgEsg,3
https://www.ijcai.org/proceedings/2018/718,3
https://arxiv.org/abs/2205.04279,3
https://www.alignmentforum.org/posts/Kx7nv8dHtFig9ud7C/an-119-ai-safety-when-agents-are-shaped-by-environments-not,3
https://arxiv.org/abs/1312.6114,3
https://www.lesswrong.com/posts/rX4AdyrtjYrEX9xnn/deceptive-ai-vs-shifting-instrumental-incentives,3
https://www.lesswrong.com/posts/3MmoaigFiiuE3vZD8/the-view-from-30-000-feet-preface-to-the-second-eleutherai-1,3
https://arxiv.org/abs/2210.15767,3
https://www.youtube.com/watch?v=Dt_UNg7Mchg,3
https://arxiv.org/abs/1505.05424,3
https://arxiv.org/abs/1512.02595,3
https://www.deepmind.com/blog/acme-a-new-framework-for-distributed-reinforcement-learning,3
https://arxiv.org/abs/1810.03548,3
https://arxiv.org/abs/1606.06565,3
https://forum.effectivealtruism.org/posts/XQbhnKgXiRTv4vfxt/future-matters-4-ai-timelines-agi-risk-and-existential-risk,3
https://www.lesswrong.com/posts/5fdcsWwtvG9jAtzGK/update-on-the-uk-ai-taskforce-and-ai-safety-summit,3
https://www.alignmentforum.org/posts/LxNwBNxXktvzAko65/reframing-superintelligence-llms-4-years,3
https://www.youtube.com/watch?v=9Z06rY3uvGY,3
https://arxiv.org/abs/2103.06268,3
https://www.youtube.com/watch?v=87kLfzmYBy8,3
https://arxiv.org/abs/1612.01474,3
https://www.youtube.com/watch?v=4x3ag-Zqo6c,3
https://www.aaai.org/Papers/AAAI/2006/AAAI06-293.pdf,3
https://gcrinstitute.org/papers/059_ai-environmental-ethics.pdf,3
https://cset.georgetown.edu/publication/military-ai-cooperation-toolbox/,3
https://www.youtube.com/watch?v=xLAyTZzl65Y,3
https://www.cnas.org/publications/reports/ai-and-international-stability-risks-and-confidence-building-measures,3
https://www.youtube.com/watch?v=f0s-uvvXvWg,3
https://forum.effectivealtruism.org/posts/Hg4dQqxyFpmkoYKeg/aisn-20-llm-proliferation-ai-deception-and-continuing,3
https://ora.ox.ac.uk/objects/uuid:51ee3d43-533c-4de6-904e-be12c27afdca/download_file?file_format=pdf&safe_filename=There%2Bis%2Bplenty%2Bof%2Btime%2Bat%2Bthe%2Bbottom%2B4.pdf&type_of_work=Journal+article,3
https://forum.effectivealtruism.org/posts/svD6fFGWvjsvCxjgM/aisn-18-challenges-of-reinforcement-learning-from-human,3
https://forum.effectivealtruism.org/posts/LjBYatyXkce5EiLDo/optimism-ai-risk-and-ea-blind-spots,3
https://arxiv.org/abs/1907.09273,3
http://n.sinaimg.cn/tech/f34884a9/20200501/GlobalAIGovernancein2019.pdf,3
https://forum.effectivealtruism.org/posts/LYWXDKfjyJquYF9Gm/aisn-15-china-and-the-us-take-action-to-regulate-ai-results,3
https://www.alignmentforum.org/posts/rnkiczuRGHdgfyth3/brain-over-body-biases-and-the-embodied-value-problem-in-ai,3
https://forum.effectivealtruism.org/posts/AgDrzikcHeyoHvaqd/the-retroactive-funding-landscape-innovations-for-donors-and,3
https://intelligence.org/2019/11/25/november-2019-newsletter/,3
https://arxiv.org/abs/1905.06876,3
https://drive.google.com/file/d/10BV6iaQ59OQ0y3cKYTqmg31inPnabNRg/view?usp=share_link,3
https://www.alignmentforum.org/posts/yRAo2KEGWenKYZG9K/discovering-language-model-behaviors-with-model-written,3
https://forum.effectivealtruism.org/posts/szwZkDBtW5sECHucy/brian-tse-sino-western-cooperation-in-ai-safety,3
https://www.alignmentforum.org/posts/y9JeNZ2WAkR6MbBZH/an-88-how-the-principal-agent-literature-relates-to-ai-risk,3
https://arxiv.org/abs/1904.07854,3
http://stacks.iop.org/1402-4896/89/i=12/a=128004?key=crossref.f5938bc78a3023d740968f020cfa9970,3
https://drive.google.com/file/d/1ZUN1YAJsy9aq1F-oXKzM43GlvvnwyI7d/view?usp=share_link,3
https://forum.effectivealtruism.org/posts/7kj38wnMANwEAp6AT/how-could-ai-governance-go-wrong,3
https://www.alignmentforum.org/posts/xFotXGEotcKouifky/worlds-where-iterative-design-fails,3
https://forum.effectivealtruism.org/posts/HCdxb2hqnKE3pWs73/how-to-regulate-cutting-edge-ai-models-markus-anderljung-on,3
https://forum.effectivealtruism.org/posts/xmmqDdGqNZq5RELer/shallow-evaluations-of-longtermist-organizations,3
https://www.alignmentforum.org/posts/xEzudcydk7APZbnai/ai-alignment-podcast-on-lethal-autonomous-weapons-with-paul,3
https://drive.google.com/file/d/1MTOo-ntlaB_oAcuBJtQ4c7iKt6LXDlKk/view?usp=share_link,3
https://www.youtube.com/watch?v=otgIqIiLSzI,3
https://arxiv.org/abs/2005.14165,3
https://cset.georgetown.edu/publication/poison-in-the-well/,3
https://www.alignmentforum.org/posts/nzmCvRvPm4xJuqztv/deepmind-is-hiring-for-the-scalable-alignment-and-alignment,3
https://www.alignmentforum.org/posts/BeGCCmDtkdJD7j5Y5/the-slippery-slope-from-dalle-2-to-deepfake-anarchy,3
https://arxiv.org/abs/2006.16668,3
https://www.youtube.com/watch?v=WnVvUByk26c,3
https://www.youtube.com/watch?v=XtJVLOe4cfs,3
https://www.alignmentforum.org/posts/gYfgWSxCpFdk2cZfE/the-alignment-problem-machine-learning-and-human-values,3
https://www.lesswrong.com/posts/cnKvxehpHqWjZJNry/how-do-ai-timelines-affect-existential-risk,3
https://arxiv.org/abs/2006.09882,3
https://www.alignmentforum.org/posts/dhbLE8BqRvhBtsXhS/mlsn-3-neurips-safety-paper-roundup,3
https://www.youtube.com/watch?v=slYsaoWGNEo,3
https://forum.effectivealtruism.org/posts/xBeqaWEJfWZv8ALWn/announcing-cavendish-labs,3
https://www.alignmentforum.org/posts/whq89vpQPp7mo5FG2/mlsn-8-mechanistic-interpretability-using-law-to-inform-ai,3
https://arxiv.org/abs/1908.09203,3
https://arxiv.org/abs/1903.03171,3
https://www.cold-takes.com/jobs-that-can-help-with-the-most-important-century/,3
https://arxiv.org/abs/2006.07558,3
https://www.youtube.com/watch?v=bNJRlx_BeDk,3
https://forum.effectivealtruism.org/posts/DuPEzGJ5oscqxD5oh/shah-and-yudkowsky-on-alignment-failures,3
https://www.cold-takes.com/rowing-steering-anchoring-equity-mutiny/,3
https://www.lesswrong.com/posts/KS7iao3MvnqT2PLGm/manifold-predicted-the-ai-extinction-statement-and-cais,2
https://www.lesswrong.com/posts/KRfKRJJFKuex858Md/four-lenses-on-ai-risks,2
https://www.alignmentforum.org/posts/FoiiRDC3EhjHx7ayY/introducing-the-ai-alignment-forum-faq,2
https://arxiv.org/abs/2105.04857,2
https://forum.effectivealtruism.org/posts/hCwDNq6sZofgSEN3s/ai-safety-7-months-of-discussion-in-17-minutes,2
https://arxiv.org/abs/2105.12938,2
https://forum.effectivealtruism.org/posts/suBJdDkEu9EaSmTxJ/implications-of-large-language-model-diffusion-for-ai,2
https://arxiv.org/abs/1912.07768,2
https://arxiv.org/abs/2106.12207,2
https://www.lesswrong.com/posts/d6DvuCKH5bSoT62DB/compendium-of-problems-with-rlhf,2
https://arxiv.org/abs/2001.07455,2
https://www.lesswrong.com/posts/L5pWY8gEGhsHiWcsG/eu-ai-act-passed-plenary-vote-and-x-risk-was-a-main-topic,2
https://forum.effectivealtruism.org/posts/gbPthwLw3NovHAJdp/software-engineering-career-review,2
https://arxiv.org/abs/2106.12142,2
https://www.alignmentforum.org/posts/NTwA3J99RPkgmp6jh/an-62-are-adversarial-examples-caused-by-real-but,2
https://www.lesswrong.com/posts/dJMt6ty2Bs34gLvAZ/notes-on-gratitude,2
https://www.alignmentforum.org/posts/PF58wEdztZFX2dSue/how-truthful-is-gpt-3-a-benchmark-for-language-models,2
https://www.lesswrong.com/posts/fSMrwJnqRb5NrMYFx/all-agi-safety-questions-welcome-especially-basic-ones-2,2
https://forum.effectivealtruism.org/posts/eibgQcbRXtW7tukfv/discussion-about-ai-safety-funding-fb-transcript,2
https://www.alignmentforum.org/posts/RJZ7bwoDB6BWgt6St/the-role-of-bayesian-ml-in-ai-safety-an-overview,2
https://arxiv.org/abs/2109.08904,2
https://arxiv.org/abs/2109.08273,2
https://www.lesswrong.com/posts/G3aG5eLGYE3cnhEZq/faq-what-the-heck-is-goal-agnosticism,2
https://www.alignmentforum.org/posts/EaZghEwcCJRAuee66/my-thoughts-on-the-social-response-to-ai-risk,2
https://arxiv.org/abs/1910.06266,2
https://arxiv.org/abs/2109.06443,2
https://forum.effectivealtruism.org/posts/uWgQv2gigQvDhQum6/the-ai-guide-i-m-sending-my-grandparents,2
https://forum.effectivealtruism.org/posts/esfHrQnu9aSHuXbmy/linkpost-alpaca-7b-release-or-budget-chatgpt-for-everybody,2
https://forum.effectivealtruism.org/posts/f8BY2yiLBzHLntjTL/toby-ord-s-new-report-on-lessons-from-the-development-of-the,2
https://arxiv.org/abs/1910.13369,2
https://arxiv.org/abs/1912.05907,2
https://arxiv.org/abs/1910.14599,2
https://forum.effectivealtruism.org/posts/fkN9zcqNeZGrXeeMF/international-cooperation-as-a-tool-to-reduce-two,2
https://forum.effectivealtruism.org/posts/uSKQLstvoxHKtWkrg/culture-and-programming-retrospective-era-fellowship-2023,2
https://www.alignmentforum.org/posts/FRv7ryoqtvSuqBxuT/understanding-deep-double-descent,2
https://www.lesswrong.com/posts/e2XAqFyEBWxzGXeHy/ai-safety-newsletter-6-examples-of-ai-safety-progress-yoshua,2
https://arxiv.org/abs/2107.10939,2
https://forum.effectivealtruism.org/posts/g9gfXhNhLdJxSFBLW/fundamentals-of-global-priorities-research-in-economics,2
https://www.lesswrong.com/posts/JnDEAmNhSpBRpjD8L/resolutions-to-the-challenge-of-resolving-forecasts,2
https://arxiv.org/abs/1912.02781,2
https://www.lesswrong.com/posts/d9tiF8pBfmeK5wmQh/ai-improving-ai-mlaisu-w01,2
https://arxiv.org/abs/1912.05671,2
https://www.lesswrong.com/posts/cB2Rtnp7DBTpDy3ii/memory-bandwidth-constraints-imply-economies-of-scale-in-ai,2
https://www.alignmentforum.org/posts/LwJwDNFhjurAKFiJm/theories-of-change-for-ai-auditing,2
https://www.lesswrong.com/posts/La942YvexnvNkXsq5/idea-build-alignment-dataset-for-very-capable-models,2
https://forum.effectivealtruism.org/posts/hurNCKfoYacJ5PSod/my-overview-of-the-ai-alignment-landscape-a-bird-s-eye-view,2
https://arxiv.org/abs/2004.14990,2
https://www.alignmentforum.org/posts/H5iePjNKaaYQyZpgR/request-for-proposals-for-projects-in-ai-alignment-that-work,2
https://arxiv.org/abs/2012.12469,2
https://www.lesswrong.com/posts/Pk5Nyd5ByXwHWXX5r/the-application-of-the-secretary-problem-to-real-life-dating,2
https://arxiv.org/abs/2005.04305,2
https://www.lesswrong.com/posts/Z8r9sAmzDucngdZtn/field-building-and-deep-models,2
https://www.lesswrong.com/posts/YzdoNdfgfvXgC3wR4/google-deepmind-s-rt-2,2
https://arxiv.org/abs/2011.06118,2
https://www.lesswrong.com/posts/Rypb63HLXWYw8CdSr/housing-markets-satisficers-and-one-track-goodhart,2
https://arxiv.org/abs/2010.11645,2
https://arxiv.org/abs/2006.02689,2
https://www.lesswrong.com/posts/YiSLdjyBuD3oScDxR/research-proposal-leveraging-jungian-archetypes-to-create-1,2
https://arxiv.org/abs/2010.07877,2
https://www.alignmentforum.org/posts/JbcWQCxKWn3y49bNB/disentangling-arguments-for-the-importance-of-ai-safety,2
https://www.alignmentforum.org/posts/JNtGxrusJRpx53Q8L/announcing-ai-alignment-awards-usd100k-research-contests,2
https://www.lesswrong.com/posts/TAkRFJh2A3NK6oqje/linkpost-blueprint-for-an-ai-bill-of-rights-office-of,2
https://arxiv.org/abs/2008.08076,2
https://www.alignmentforum.org/posts/HXDkCtk9tae5wFmjG/an-173-recent-language-model-results-from-deepmind,2
https://arxiv.org/abs/2008.07371,2
https://arxiv.org/abs/2008.01339,2
