risk_cid,interv_cid,key,n_paths_c0,n_paths_c1,n_paths_c2,c1_boost,c2_boost
2.0,5.0,2_5,4,125,1055,121,930
21.0,26.0,21_26,1,136,1048,135,912
9.0,11.0,9_11,7,182,1028,175,846
26.0,39.0,26_39,2,346,1017,344,671
20.0,5.0,20_5,3,155,1008,152,853
25,39,25_39,0,163,1004,163,841
26.0,10.0,26_10,1,150,1002,149,852
25,26,25_26,0,175,995,175,820
9.0,6.0,9_6,12,170,988,158,818
26.0,15.0,26_15,1,95,983,94,888
6.0,24.0,6_24,7,164,982,157,818
2.0,4.0,2_4,12,164,975,152,811
1.0,5.0,1_5,7,99,960,92,861
25,15,25_15,0,124,942,124,818
4.0,35.0,4_35,29,133,940,104,807
1.0,4.0,1_4,44,164,940,120,776
35.0,5.0,35_5,5,160,920,155,760
21,39,21_39,0,91,919,91,828
19.0,35.0,19_35,5,101,897,96,796
16.0,1.0,16_1,11,181,886,170,705
12.0,5.0,12_5,6,111,878,105,767
9.0,24.0,9_24,5,197,877,192,680
22.0,5.0,22_5,32,133,876,101,743
20.0,4.0,20_4,3,167,865,164,698
27,8,27_8,0,10,858,10,848
12.0,6.0,12_6,4,141,852,137,711
10,19,10_19,0,265,851,265,586
7.0,5.0,7_5,3,107,835,104,728
35.0,4.0,35_4,3,143,834,140,691
21.0,10.0,21_10,3,183,827,180,644
2.0,11.0,2_11,5,146,813,141,667
30.0,8.0,30_8,4,54,811,50,757
16,32,16_32,0,118,810,118,692
7.0,4.0,7_4,1,106,809,105,703
18.0,35.0,18_35,2,162,793,160,631
1.0,11.0,1_11,2,112,789,110,677
12.0,4.0,12_4,8,129,784,121,655
25,32,25_32,0,162,782,162,620
6,38,6_38,0,22,774,22,752
38.0,5.0,38_5,3,49,766,46,717
10.0,23.0,10_23,1,75,764,74,689
26,1,26_1,0,33,755,33,722
21,32,21_32,0,129,744,129,615
20.0,6.0,20_6,5,97,739,92,642
26,32,26_32,0,69,732,69,663
2,6,2_6,0,70,732,70,662
25,1,25_1,0,91,720,91,629
6.0,15.0,6_15,2,94,719,92,625
22.0,4.0,22_4,18,95,718,77,623
6.0,26.0,6_26,19,103,716,84,613
10.0,27.0,10_27,1,111,714,110,603
35.0,24.0,35_24,4,159,710,155,551
20,11,20_11,0,136,709,136,573
1.0,6.0,1_6,2,66,707,64,641
7.0,24.0,7_24,1,136,700,135,564
15.0,5.0,15_5,2,51,696,49,645
21.0,1.0,21_1,2,120,692,118,572
35.0,11.0,35_11,2,126,692,124,566
6,10,6_10,0,80,687,80,607
3,8,3_8,0,41,685,41,644
7,11,7_11,0,33,671,33,638
2.0,24.0,2_24,2,150,662,148,512
10.0,25.0,10_25,2,69,656,67,587
4.0,5.0,4_5,20,64,636,44,572
28.0,8.0,28_8,2,59,635,57,576
1,24,1_24,0,110,622,110,512
9.0,26.0,9_26,1,70,620,69,550
15.0,4.0,15_4,2,59,609,57,550
9.0,38.0,9_38,1,35,600,34,565
12.0,11.0,12_11,3,74,600,71,526
10,17,10_17,0,179,597,179,418
38.0,4.0,38_4,8,106,595,98,489
17.0,6.0,17_6,55,181,592,126,411
20.0,24.0,20_24,1,141,591,140,450
6,39,6_39,0,66,591,66,525
38.0,24.0,38_24,2,35,579,33,544
18.0,5.0,18_5,6,138,578,132,440
10,0,10_0,0,7,570,7,563
9.0,10.0,9_10,15,112,561,97,449
19.0,5.0,19_5,5,78,558,73,480
11.0,35.0,11_35,1,14,555,13,541
37.0,8.0,37_8,7,23,554,16,531
22.0,24.0,22_24,34,120,553,86,433
16.0,23.0,16_23,1,47,547,46,500
22.0,11.0,22_11,4,55,547,51,492
22.0,6.0,22_6,8,66,546,58,480
9.0,15.0,9_15,2,95,546,93,451
17.0,35.0,17_35,1,47,540,46,493
19.0,4.0,19_4,6,108,530,102,422
38.0,11.0,38_11,1,36,530,35,494
21,23,21_23,0,85,523,85,438
21.0,19.0,21_19,1,221,520,220,299
2.0,38.0,2_38,6,21,520,15,499
16.0,19.0,16_19,1,120,518,119,398
9.0,39.0,9_39,3,81,509,78,428
15.0,11.0,15_11,6,49,502,43,453
35.0,26.0,35_26,1,56,499,55,443
15.0,6.0,15_6,4,34,496,30,462
