cluster_a,cluster_b,n_paths
18,15,600
37,4,600
30,6,595
10,31,591
10,29,591
10,21,591
10,12,591
9,0,591
10,13,591
1,32,590
9,34,590
1,25,590
11,1,588
35,25,584
35,32,581
12,32,580
12,25,580
17,1,579
30,11,579
20,1,576
14,35,572
7,32,570
7,25,570
23,8,568
21,17,564
21,27,564
21,9,564
28,5,562
2,25,561
0,39,561
4,39,561
34,6,560
2,32,560
18,26,550
19,19,549
19,23,549
34,11,544
1,19,531
1,23,531
3,6,526
35,23,526
18,10,525
27,6,525
35,19,523
12,19,522
12,23,522
26,18,521
26,28,520
26,36,520
6,27,519
16,18,517
6,17,516
6,9,516
16,36,515
25,36,515
25,18,515
16,28,515
25,28,515
28,4,513
7,23,513
7,19,513
3,11,511
27,11,510
8,35,508
2,23,505
9,9,505
9,17,505
9,27,504
24,24,504
2,19,504
33,35,496
19,22,489
22,25,480
22,32,480
0,1,475
24,38,475
1,22,473
21,18,471
21,36,470
21,28,470
4,1,466
35,22,465
12,22,464
24,15,457
7,22,456
37,6,455
15,25,452
30,24,448
2,22,448
37,11,443
22,19,434
22,23,432
6,18,432
15,32,431
38,32,430
6,28,430
6,36,430
38,25,430
34,24,427
19,34,427
19,0,427
14,5,426
5,8,426
30,38,425
29,35,425
32,35,424
9,36,421
11,25,421
9,18,421
9,28,420
11,32,420
24,26,418
26,2,417
18,39,417
26,33,416
22,22,413
1,0,413
16,2,413
1,34,413
16,33,413
25,2,412
25,33,412
17,32,410
20,25,410
17,25,410
20,32,410
30,15,408
35,0,407
35,34,406
12,34,406
12,0,406
34,38,400
7,34,399
24,10,399
7,0,399
3,24,395
10,37,394
2,0,393
2,34,392
27,24,390
38,23,389
15,19,388
15,23,387
38,19,387
28,6,385
34,15,384
11,19,378
11,23,378
21,33,376
21,2,376
27,38,375
3,38,375
28,11,375
30,26,374
17,23,371
20,23,370
14,4,370
20,19,369
17,19,369
19,17,367
30,10,367
4,19,367
19,9,366
19,27,366
3,15,365
27,15,361
33,5,360
8,5,360
1,9,354
1,17,354
31,35,354
1,27,354
34,26,352
18,1,350
35,17,348
35,27,348
35,9,348
12,9,348
6,2,348
12,27,348
12,17,348
38,22,345
6,33,344
15,22,344
22,0,343
7,9,342
7,17,342
7,27,342
22,34,342
37,24,338
9,33,338
2,9,337
4,32,336
2,17,336
2,27,336
9,2,336
34,10,336
11,22,336
17,22,335
0,25,335
33,4,334
4,25,334
0,32,331
27,26,330
3,26,330
20,22,330
8,4,325
37,38,325
24,39,323
16,31,318
4,23,317
27,10,315
3,10,315
0,0,314
26,31,312
26,29,312
26,13,312
37,15,312
26,21,312
26,12,312
16,13,309
25,29,309
25,31,309
25,12,309
16,12,309
16,29,309
16,21,309
25,21,309
25,13,309
15,0,307
29,5,306
32,5,306
19,36,305
19,28,305
19,18,305
38,0,301
38,34,301
15,34,301
0,19,300
11,34,298
22,9,297
0,23,297
11,0,295
1,18,295
1,36,295
1,28,295
22,17,294
20,0,292
22,27,291
17,0,290
12,36,290
12,28,290
12,18,290
35,28,290
30,39,290
0,22,290
35,18,290
35,36,290
17,34,289
28,24,289
20,34,288
23,35,287
37,26,286
0,34,285
7,36,285
7,18,285
7,28,285
21,31,283
21,12,282
21,29,282
21,21,282
21,13,282
2,28,281
2,18,280
2,36,280
14,6,280
32,4,279
29,4,277
37,10,277
14,11,275
28,38,275
34,39,272
31,5,270
24,1,268
9,21,267
28,15,265
4,22,264
0,9,261
15,9,260
38,27,259
6,13,259
15,17,259
6,31,259
6,29,258
6,21,258
33,6,258
15,27,258
6,12,258
38,9,258
38,17,258
22,18,257
9,13,256
3,39,255
27,39,255
4,0,254
9,12,253
9,31,253
11,9,253
11,17,252
11,27,252
9,29,252
18,25,250
18,32,250
20,9,249
8,6,247
17,17,247
20,17,246
17,9,246
17,27,246
20,27,246
19,2,244
19,33,244
8,11,243
28,26,242
22,36,240
22,28,240
33,11,239
28,10,239
30,1,239
31,4,237
4,34,237
1,2,236
1,33,236
35,2,233
35,33,232
12,2,232
12,33,232
7,33,228
7,2,228
4,9,225
18,23,225
2,33,225
5,35,225
18,19,225
2,2,224
34,1,224
37,39,221
22,33,220
15,18,217
38,18,215
38,28,215
38,36,215
15,28,215
15,36,215
14,24,212
11,18,212
17,36,211
29,6,210
32,6,210
3,1,210
11,36,210
11,28,210
27,1,210
26,37,208
25,37,206
20,18,206
16,37,206
32,11,205
20,36,205
20,28,205
17,28,205
17,18,205
23,5,204
29,11,204
4,27,204
0,17,204
14,38,203
0,27,202
4,17,200
18,22,200
14,15,198
10,20,197
22,2,193
24,25,191
24,32,190
14,26,188
8,24,188
21,37,188
28,39,187
23,4,185
0,36,185
33,24,185
19,31,184
19,12,183
19,21,183
19,29,183
19,13,183
37,1,182
31,6,177
0,18,177
1,31,177
1,12,177
1,21,177
1,13,177
1,29,177
8,38,175
18,34,175
35,31,175
35,13,175
18,0,175
35,12,175
33,38,175
35,21,174
35,29,174
12,12,174
12,13,174
12,29,174
12,31,174
12,21,174
15,2,174
6,37,172
15,33,172
38,33,172
24,23,172
38,2,172
7,13,171
7,21,171
24,19,171
7,29,171
7,12,171
7,31,171
2,31,170
14,10,170
30,32,170
30,25,170
31,11,170
33,15,169
8,26,169
4,2,169
11,2,168
9,37,168
11,33,168
2,13,168
8,15,168
2,21,168
2,12,168
2,29,168
4,36,167
4,18,167
4,28,165
17,33,165
0,28,165
20,2,165
17,2,164
20,33,164
34,32,160
34,25,160
32,24,159
5,5,158
29,24,157
33,10,155
28,1,154
33,26,154
24,22,153
30,23,153
30,19,153
18,17,151
18,27,150
32,38,150
3,32,150
3,25,150
18,9,150
27,32,150
27,25,150
29,38,150
8,10,148
22,13,145
22,12,145
29,15,144
22,21,144
34,23,144
22,31,144
32,15,144
22,29,144
34,19,144
39,8,143
5,4,142
23,6,140
32,26,137
14,25,136
23,11,136
30,22,136
27,23,136
14,39,136
3,19,135
3,23,135
27,19,135
0,33,134
24,0,134
0,2,134
24,34,133
4,33,132
29,26,132
15,13,131
15,31,131
37,25,131
37,32,130
8,23,130
15,12,130
15,21,130
31,24,130
38,13,129
38,21,129
15,29,129
38,12,129
38,31,129
38,29,129
34,22,128
29,10,128
11,12,127
11,31,127
11,13,126
32,10,126
11,29,126
11,21,126
18,18,125
18,28,125
31,38,125
18,36,125
20,21,125
14,1,124
17,12,124
17,21,124
17,13,124
20,13,123
17,31,123
17,29,123
20,31,123
20,12,123
20,29,123
19,37,122
31,15,120
27,22,120
33,39,120
3,22,120
30,0,119
8,39,119
30,34,119
1,37,118
37,23,117
37,19,117
35,37,116
12,37,116
24,17,115
24,27,114
7,37,114
24,9,114
34,0,112
2,37,112
34,34,112
28,25,111
28,32,110
31,26,110
5,6,108
4,21,107
3,34,106
31,10,105
23,24,105
3,0,105
27,34,105
27,0,105
5,11,104
26,20,104
37,22,104
8,1,103
16,20,103
25,20,103
30,9,102
30,17,102
30,27,102
32,39,102
4,20,101
18,2,100
23,38,100
18,33,100
0,12,100
0,31,100
33,1,100
22,37,100
0,13,100
29,39,99
4,12,99
4,13,99
28,23,99
28,19,99
0,21,99
4,31,99
4,29,99
0,29,99
34,27,97
23,15,96
3,9,96
34,17,96
34,9,96
24,36,95
24,18,95
24,28,95
21,20,94
37,0,91
37,34,91
3,27,90
3,17,90
27,9,90
27,27,90
27,17,90
30,28,89
23,26,88
28,22,88
31,1,86
15,37,86
14,32,86
6,20,86
38,37,86
31,39,85
30,18,85
23,10,85
30,36,85
32,1,84
29,1,84
5,24,84
11,37,84
9,20,84
20,37,82
17,37,82
34,18,81
34,36,80
34,28,80
3,18,79
5,26,79
37,17,78
37,9,78
37,27,78
24,2,78
28,34,77
28,0,77
14,19,77
24,33,76
5,9,76
14,23,76
8,25,76
18,21,75
18,31,75
18,13,75
5,38,75
27,36,75
18,29,75
18,12,75
3,28,75
3,36,75
27,18,75
27,28,75
5,15,72
8,32,71
33,25,70
39,35,70
33,32,70
14,22,69
30,2,68
30,33,68
23,39,68
28,17,67
28,27,66
4,37,66
28,9,66
34,33,66
0,37,66
8,19,66
37,28,65
37,18,65
37,36,65
5,10,65
33,19,64
34,2,64
3,2,63
33,23,63
19,20,61
32,32,61
3,33,61
32,25,60
28,36,60
29,32,60
4,30,60
27,33,60
29,25,60
27,2,60
14,9,59
1,20,59
33,22,59
24,13,58
14,34,58
12,20,58
35,20,58
24,31,58
23,1,57
24,21,57
24,29,57
24,12,57
14,0,57
7,20,57
8,22,56
2,20,56
28,18,55
28,28,55
29,19,54
32,19,54
32,23,54
29,23,54
8,17,53
37,33,52
37,2,52
14,17,51
30,21,51
30,12,51
30,31,51
30,13,51
30,29,51
31,25,51
5,39,51
39,5,51
18,37,50
8,0,50
33,34,50
31,32,50
14,27,50
33,0,49
8,34,49
14,2,49
32,22,48
29,22,48
22,20,48
34,29,48
34,13,48
34,21,48
34,12,48
34,31,48
39,4,47
3,21,45
31,19,45
3,29,45
3,31,45
3,12,45
3,13,45
31,23,45
27,21,45
27,29,45
27,12,45
16,14,45
27,13,45
27,31,45
28,2,44
28,33,44
15,20,43
38,20,43
14,18,43
31,22,43
33,17,42
32,34,42
8,9,42
32,0,42
5,2,42
5,1,42
29,34,42
29,0,42
8,27,42
33,27,42
11,20,42
33,9,42
37,31,41
20,20,41
5,0,41
17,20,41
23,32,40
14,36,40
23,25,40
14,28,40
5,25,40
37,12,39
37,13,39
37,29,39
37,21,39
28,12,39
31,0,39
24,37,38
32,17,38
5,19,38
8,18,36
23,19,36
29,17,36
29,27,36
32,9,36
39,11,36
33,36,36
33,18,36
32,27,36
28,13,36
29,9,36
23,23,36
14,33,35
39,6,35
33,28,35
31,34,35
8,36,35
8,28,35
30,37,34
0,20,34
5,34,33
31,17,33
8,2,33
28,29,33
28,31,33
28,21,33
14,21,33
23,22,32
34,37,32
3,37,31
32,28,30
32,18,30
29,36,30
31,27,30
33,33,30
27,37,30
29,28,30
29,18,30
5,32,30
32,36,30
31,9,30
14,13,28
23,34,28
33,2,28
31,21,28
5,23,28
8,33,28
23,0,28
31,18,27
39,24,27
14,31,27
5,22,26
37,37,26
14,12,25
29,2,25
39,38,25
23,17,25
31,36,25
14,29,25
31,28,25
18,20,25
8,31,25
39,15,24
23,9,24
32,2,24
23,27,24
32,33,24
29,33,24
8,21,23
33,21,23
5,17,23
39,10,22
33,12,22
8,12,22
28,37,22
39,26,22
8,13,22
33,31,22
23,13,21
8,29,21
33,13,21
33,29,21
23,36,20
31,2,20
23,18,20
23,28,20
31,33,20
5,36,19
29,31,19
24,20,19
5,18,19
0,16,19
32,29,18
29,29,18
32,31,18
32,21,18
32,12,18
5,27,18
32,13,18
29,12,18
29,13,18
29,21,18
39,39,17
23,33,17
30,20,17
34,20,16
23,2,16
14,37,16
31,31,16
31,12,15
5,28,15
31,13,15
3,20,15
27,20,15
39,1,15
31,29,15
33,37,14
8,37,14
5,33,14
37,20,13
32,37,12
5,21,12
29,37,12
23,12,12
23,31,12
23,21,12
5,3,12
23,29,12
39,25,11
28,20,11
31,37,10
39,32,10
5,31,10
5,13,10
5,12,9
39,23,9
5,29,9
39,19,9
23,37,8
39,22,8
39,34,8
14,20,8
39,9,8
0,7,8
33,20,7
5,37,7
39,0,7
8,20,7
32,20,6
39,27,6
5,20,6
29,20,6
39,17,6
13,14,6
39,36,5
15,16,5
39,18,5
39,28,5
31,20,5
39,33,4
39,31,4
23,20,4
11,3,4
39,2,4
39,29,3
0,3,3
39,21,3
39,13,3
39,12,3
14,3,2
13,29,2
31,7,2
36,19,2
39,37,2
14,7,2
36,23,2
8,7,1
35,3,1
39,20,1
4,3,1
33,3,1
5,16,1
10,16,1
14,16,1
31,16,1
36,25,1
25,3,1
9,7,1
15,3,1
9,3,1
39,3,1
5,7,1
6,30,1
15,7,1
